[3, 3, 78, 30, 48, 35, 43, 18, 18, 8, 18, 22] 
[6, 6, 90, 47, 43, 40, 50, 10, 4, 10, 32, 24] 
[0, 0, 83, 38, 45, 39, 44, 7, 7, 5, 21, 16] 
[1, 1, 38, 8, 30, 25, 13, 22, 22, 12, 13, 6] 
[7, 7, 54, 21, 33, 36, 18, 18, 12, 18, 13, 21] 
[2, 2, 84, 41, 43, 34, 50, 16, 2, 16, 28, 24] 
[3, 3, 74, 27, 47, 34, 40, 20, 20, 6, 18, 22] 
[1, 1, 42, 9, 33, 26, 16, 24, 24, 10, 15, 6] 
[0, 0, 85, 40, 45, 39, 46, 7, 5, 7, 21, 16] 
[8, 8, 92, 44, 48, 43, 49, 6, 4, 6, 31, 24] 
[7, 7, 58, 21, 37, 38, 20, 18, 16, 18, 15, 24] 
[2, 2, 90, 44, 46, 37, 53, 16, 2, 16, 29, 24] 
[6, 6, 94, 49, 45, 41, 53, 12, 4, 12, 33, 24] 
[7, 7, 58, 21, 37, 38, 20, 18, 16, 18, 15, 24] 
[6, 6, 91, 47, 44, 40, 51, 11, 3, 11, 33, 24] 
[7, 7, 58, 21, 37, 38, 20, 18, 16, 18, 15, 24] 
[9, 9, 93, 42, 51, 40, 53, 13, 9, 13, 37, 24] 
[4, 4, 72, 28, 44, 28, 44, 16, 16, 16, 25, 20] 
[1, 1, 35, 6, 29, 23, 12, 23, 23, 11, 12, 6] 
[1, 1, 35, 6, 29, 23, 12, 23, 23, 11, 12, 6] 
[4, 4, 69, 27, 42, 26, 43, 17, 15, 17, 24, 18] 
[1, 1, 35, 6, 29, 23, 12, 23, 23, 11, 12, 6] 
[1, 1, 35, 6, 29, 23, 12, 23, 23, 11, 12, 6] 
[2, 2, 82, 40, 42, 33, 49, 16, 2, 16, 28, 24] 
[2, 2, 82, 40, 42, 33, 49, 16, 2, 16, 28, 24] 
[2, 2, 82, 40, 42, 33, 49, 16, 2, 16, 28, 24] 
[3, 3, 74, 27, 47, 34, 40, 20, 20, 6, 18, 22] 
[8, 8, 87, 41, 46, 40, 47, 7, 5, 7, 30, 24] 
[1, 1, 43, 9, 34, 26, 17, 25, 25, 9, 15, 6] 
[4, 4, 72, 28, 44, 28, 44, 16, 16, 16, 25, 20] 
[5, 5, 87, 40, 47, 48, 39, 9, 7, 9, 31, 24] 
[2, 2, 87, 44, 43, 36, 51, 15, 1, 15, 29, 24] 
[8, 8, 87, 41, 46, 40, 47, 7, 5, 7, 30, 24] 
[3, 3, 74, 27, 47, 34, 40, 20, 20, 6, 18, 22] 
[5, 5, 83, 37, 46, 45, 38, 9, 9, 7, 29, 24] 
[9, 9, 88, 38, 50, 38, 50, 12, 12, 12, 35, 24] 
[5, 5, 83, 37, 46, 45, 38, 9, 9, 7, 29, 24] 
[1, 1, 39, 7, 32, 24, 15, 25, 25, 9, 12, 6] 
[4, 4, 70, 27, 43, 27, 43, 16, 16, 16, 24, 19] 
[8, 8, 89, 43, 46, 41, 48, 7, 3, 7, 32, 24] 
[1, 1, 40, 9, 31, 26, 14, 22, 22, 12, 13, 6] 
[4, 4, 71, 27, 44, 27, 44, 17, 17, 17, 25, 19] 
[7, 7, 55, 21, 34, 36, 19, 17, 13, 17, 13, 22] 
[5, 5, 83, 37, 46, 45, 38, 9, 9, 7, 29, 24] 
[3, 3, 81, 33, 48, 36, 45, 15, 15, 9, 19, 22] 
[6, 6, 91, 47, 44, 40, 51, 11, 3, 11, 33, 24] 
[1, 1, 44, 10, 34, 27, 17, 24, 24, 10, 16, 6] 
[2, 2, 95, 48, 47, 41, 54, 13, 1, 13, 30, 24] 
[2, 2, 91, 45, 46, 37, 54, 17, 1, 17, 29, 24] 
[0, 0, 92, 42, 50, 43, 49, 8, 8, 6, 21, 18] 
[0, 0, 88, 42, 46, 42, 46, 4, 4, 4, 21, 16] 
[2, 2, 87, 44, 43, 36, 51, 15, 1, 15, 29, 24] 
[0, 0, 86, 40, 46, 40, 46, 6, 6, 6, 21, 16] 
[0, 0, 88, 41, 47, 42, 46, 6, 6, 4, 21, 16] 
[1, 1, 51, 8, 43, 23, 28, 35, 35, 5, 12, 6] 
[7, 7, 56, 22, 34, 36, 20, 16, 12, 16, 13, 22] 
[7, 7, 56, 22, 34, 36, 20, 16, 12, 16, 13, 22] 
[4, 4, 71, 27, 44, 27, 44, 17, 17, 17, 25, 19] 
[3, 3, 74, 27, 47, 34, 40, 20, 20, 6, 18, 22] 
